DATE,DSPIC96
3/1/2008,11547
4/1/2008,11500.7
5/1/2008,12051.9
6/1/2008,11733
7/1/2008,11548.3
8/1/2008,11482.4
9/1/2008,11514.3
10/1/2008,11576.8
11/1/2008,11664.4
12/1/2008,11605.8
1/1/2009,11646.8
2/1/2009,11526.6
3/1/2009,11523.2
4/1/2009,11626.7
5/1/2009,11819.2
6/1/2009,11624
7/1/2009,11570.1
8/1/2009,11540.6
9/1/2009,11562.2
10/1/2009,11512.6
11/1/2009,11544.2
12/1/2009,11607.5
1/1/2010,11608.6
2/1/2010,11606.4
3/1/2010,11644.3
4/1/2010,11741.3
5/1/2010,11835.7
6/1/2010,11856.6
7/1/2010,11876.2
8/1/2010,11910.7
9/1/2010,11899
10/1/2010,11916.3
11/1/2010,11942.6
12/1/2010,12026.9
1/1/2011,12076.4
2/1/2011,12106.2
3/1/2011,12069.3
4/1/2011,12047
5/1/2011,12034.6
6/1/2011,12091
7/1/2011,12126.4
8/1/2011,12113.1
9/1/2011,12091.2
10/1/2011,12112.8
11/1/2011,12110.5
12/1/2011,12220.2
1/1/2012,12311
2/1/2012,12385.4
3/1/2012,12429.3
4/1/2012,12477.1
5/1/2012,12487.5
6/1/2012,12498.7
7/1/2012,12410.1
8/1/2012,12362.6
9/1/2012,12422.5
10/1/2012,12516.4
11/1/2012,12693.1
12/1/2012,13016.3
1/1/2013,12266.8
2/1/2013,12205.2
3/1/2013,12223.9
4/1/2013,12271.9
5/1/2013,12342.2
6/1/2013,12355
7/1/2013,12341.5
8/1/2013,12368.7
9/1/2013,12418.7
10/1/2013,12386
11/1/2013,12425.3
12/1/2013,12464.3
1/1/2014,12532
2/1/2014,12618
3/1/2014,12693.3
4/1/2014,12725.5
5/1/2014,12760.6
6/1/2014,12811.7
7/1/2014,12854.8
8/1/2014,12915.5
9/1/2014,12950.4
10/1/2014,13001.2
11/1/2014,13055.5
12/1/2014,13138.9
1/1/2015,13205.4
2/1/2015,13251.2
3/1/2015,13223.3
4/1/2015,13286.9
5/1/2015,13331.7
6/1/2015,13364.8
7/1/2015,13404.2
8/1/2015,13446.6
9/1/2015,13470.3
10/1/2015,13475.7
11/1/2015,13447.7
12/1/2015,13490.7
1/1/2016,13546.5
2/1/2016,13561.7
3/1/2016,13578.5
4/1/2016,13551.9
5/1/2016,13538.2
6/1/2016,13534.4
7/1/2016,13571.6
8/1/2016,13583.4
9/1/2016,13623.7
10/1/2016,13654.5
11/1/2016,13688.5
12/1/2016,13713.1
1/1/2017,13772.9
2/1/2017,13832.9
3/1/2017,13900.3
4/1/2017,13875.3
5/1/2017,13932.5
6/1/2017,13921.6
7/1/2017,13961.7
8/1/2017,13987.9
9/1/2017,14009.2
10/1/2017,14046.8
11/1/2017,14060.8
12/1/2017,14090.2
1/1/2018,14185.7
2/1/2018,14212.5
3/1/2018,14261.3
4/1/2018,14259.7
5/1/2018,14274.3
6/1/2018,14312
7/1/2018,14336.4
8/1/2018,14374.8
9/1/2018,14385
10/1/2018,14434
11/1/2018,14460.5
